,Episode End Value,action,Nepse Data,Stock price,Normal Investor 
327,12847.8422128184,1,1281.9,722.138586350975,10833.6634893915
328,12847.8422128184,1,1285.96,724.237826427577,10865.1566972095
329,12840.704796558,1,1288.36,724.237826427577,10865.1566972095
330,12776.4680502139,1,1278.96,723.817978412256,10858.8580556459
331,12526.6584810984,2,1270.52,720.039346274373,10802.1702815735
332,12084.1386729507,2,1255.47,705.344665738162,10581.7178268476
333,11955.6651802627,2,1231.07,679.314088788301,10191.2020499044
334,11563.1072859382,2,1220.44,671.756824512535,10077.8265017596
335,11848.603936356,2,1168.55,648.665183669916,9731.40121576157
336,11953.3975341116,2,1207.71,665.45910428273,9983.34687830558
337,11953.3975341116,2,1204.81,671.623433562473,10075.8253447894
338,11496.6935992892,2,1220.29,671.623433562473,10075.8253447894
339,11434.4157899952,2,1196.24,644.758496219974,9672.79233099783
340,11330.6194411719,2,1192.96,641.09509567327,9617.83328366262
341,11693.9066620534,2,1199,634.989428095428,9526.23487143724
342,12160.9902317582,2,1226.45,656.359264617871,9846.829314226
343,12700.7312456393,2,1250.39,683.834768718154,10259.0221692401
344,12742.2497851687,1,1294.65,715.584240122925,10735.333912812
345,12628.073801463,1,1287.78,718.026507154062,10771.9732777021
346,12534.6570875221,2,1270.23,711.310272818437,10671.2150242542
347,12524.2774526397,2,1273.33,705.81517199838,10588.7764532514
348,12534.6570875221,2,1277.55,705.204605240596,10579.6166120289
349,12783.768324698,2,1280.15,705.81517199838,10588.7764532514
350,13084.7777362855,1,1297.57,720.468774185198,10808.6126425923
351,12991.3610223446,1,1331.18,738.175210160936,11074.2480380458
352,12991.3610223446,1,1363.08,732.680109340879,10991.809467043
353,13302.7500688144,1,1388.31,732.680109340879,10991.809467043
354,13147.0555455795,1,1438.49,750.997112074401,11266.6047037191
355,12991.3610223446,1,1410.85,741.838610707641,11129.207085381
356,12877.1850386389,1,1394.86,732.680109340879,10991.809467043
357,12628.073801463,1,1386.47,725.963875005255,10891.0512135951
358,12638.4534363454,1,1357.22,711.310272818437,10671.2150242542
359,12628.073801463,1,1349.01,711.920839576221,10680.3748654768
360,12783.768324698,1,1360.38,711.310272818437,10671.2150242542
361,12617.6941665807,1,1366.15,720.468774185198,10808.6126425923
362,12576.1756270514,1,1353.64,710.699706060653,10662.0551830317
363,12763.0090549333,1,1345.37,708.257439029517,10625.4158181416
364,12679.9719758747,1,1361.02,719.24764066963,10790.2929601472
365,12638.4534363454,1,1356.15,714.363106607358,10717.0142303669
366,12576.1756270514,1,1348.45,711.920839576221,10680.3748654768
367,12524.2774526397,1,1338.17,708.257439029517,10625.4158181416
368,12472.3792782281,1,1333.85,705.204605240596,10579.6166120289
369,12524.2774526397,1,1338.01,702.151771451676,10533.8174059162
370,12565.7959921691,0,1339.65,705.204605240596,10579.6166120289
371,12565.7959921691,1,1339.19,707.646872271733,10616.255976919
372,12565.7959921691,1,1336.13,705.81517199838,10588.7764532514
373,12565.7959921691,1,1332.82,703.983471725028,10561.2969295838
374,12565.7959921691,1,1328.27,699.70950442054,10497.1780410261
375,12565.7959921691,1,1318.22,699.70950442054,10497.1780410261
376,12565.7959921691,1,1300.41,687.498169264858,10313.9812165753
377,12565.7959921691,1,1336.39,702.151771451676,10533.8174059162
378,12565.7959921691,1,1327.21,697.877804147187,10469.6985173584
379,12565.7959921691,1,1322.27,699.098937662756,10488.0181998035
380,12565.7959921691,1,1307.66,690.551003053779,10359.780422688
381,12565.7959921691,1,1273.95,670.402300046904,10057.5056623443
382,12565.7959921691,1,1268.84,656.359264617871,9846.829314226
383,12565.7959921691,0,1282.75,669.181166531336,10039.1859798992
384,12565.7959921691,1,1257.07,650.253597040031,9755.23090200066
385,12565.7959921691,2,1231.64,629.494327275372,9443.79630043443
386,12519.3929185775,2,1241.19,631.936594306508,9480.43566532457
387,12496.1913817817,2,1239.26,629.494327275372,9443.79630043443
388,12449.7883081901,2,1242.07,628.273193759804,9425.47661798936
389,12356.9821610069,2,1247.3,625.830926728668,9388.83725309922
390,12322.1798558132,2,1233.23,620.946392666395,9315.55852331892
391,12240.974477028,2,1235.15,619.114692393043,9288.07899965132
392,12217.7729402322,2,1226.18,614.840725088555,9223.96011109358
393,12240.974477028,2,1217.84,613.619591572986,9205.64042864849
394,12322.1798558132,2,1218.46,614.840725088555,9223.96011109358
395,12194.5714034364,2,1219.81,619.114692393043,9288.07899965132
396,12159.7690982427,1,1210.09,612.398458057419,9187.32074620344
397,12159.7690982427,2,1194.8,610.566757784066,9159.84122253582
398,12124.966793049,2,1199.42,610.566757784066,9159.84122253582
399,12066.9629510595,2,1198.54,608.735057510714,9132.36169886821
400,12055.3621826616,2,1184.53,605.682223721794,9086.56249275554
401,12090.1644878553,2,1179.71,605.07165696401,9077.402651533
402,12252.5752454259,2,1180.36,606.903357237361,9104.88217520059
403,12647.0013709544,2,1188.4,615.451291846339,9233.11995231611
404,12670.2029077502,2,1224.41,636.210561610997,9544.55455388232
405,12519.3929185775,2,1224.39,637.431695126565,9562.87423632739
406,12449.7883081901,2,1206.43,629.494327275372,9443.79630043443
407,12449.7883081901,2,1205.93,625.830926728668,9388.83725309922
408,12159.7690982427,2,1205.64,625.830926728668,9388.83725309922
409,12449.7883081901,2,1191.98,610.566757784066,9159.84122253582
410,12739.8075181375,2,1200.09,625.830926728668,9388.83725309922
411,12577.396760567,2,1212.36,641.09509567327,9617.83328366262
412,12414.9860029964,2,1204.31,632.547161064293,9489.59550654711
413,12391.7844662006,2,1198.77,623.999226455315,9361.3577294316
414,12333.7806242111,2,1193.39,622.778092939748,9343.03804698654
415,12345.381392609,2,1181.66,619.725259150827,9297.23884087385
416,12449.7883081901,2,1194.5,620.335825908611,9306.39868209639
417,12368.5829294048,2,1199.27,625.830926728668,9388.83725309922
418,12275.7767822217,0,1194.35,621.55695942418,9324.71836454147
419,12275.7767822216,2,1191.2,616.672425361907,9251.43963476118
420,12206.1721718343,2,1194.82,619.725259150827,9297.23884087385
421,12159.7690982427,2,1194.38,616.061858604123,9242.27979353864
422,12240.974477028,2,1191.47,613.619591572986,9205.64042864849
423,12229.3737086301,2,1193.87,617.893558877475,9269.75931720625
424,12240.974477028,0,1191.31,617.282992119691,9260.59947598371
425,12240.974477028,2,1189.88,617.893558877475,9269.75931720625
426,12206.1721718343,0,1189.67,613.619591572986,9205.64042864849
427,12206.1721718343,2,1188.21,611.787891299635,9178.1609049809
428,11823.3468147037,0,1187.32,610.566757784066,9159.84122253582
429,11823.3468147037,2,1180.63,590.418054777192,8857.56646219214
430,12297.7571855019,0,1163.94,555.615749583501,8335.45551250761
431,12297.7571855019,2,1174.37,578.20671962151,8674.36963774141
432,12477.2638122904,0,1180.98,577.596152863727,8665.20979651889
433,12477.2638122904,2,1209.71,586.144087472703,8793.44757363438
434,12464.4419103769,0,1210.32,583.701820441568,8756.80820874425
435,12464.4419103769,2,1196.29,583.091253683784,8747.64836752172
436,12413.154302723,0,1188.07,573.322185559238,8601.09090796113
437,12413.154302723,2,1183.89,570.879918528102,8564.45154307099
438,12345.9919593668,0,1182.42,561.721417161341,8427.05392473295
439,12345.9919593668,2,1178.5,558.668583372421,8381.25471862028
440,12157.9373979693,0,1175.72,558.668583372421,8381.25471862028
441,12157.9373979693,2,1177.09,550.120648763443,8253.01694150476
442,12211.6672726543,0,1172.3,550.731215521228,8262.17678272731
443,12211.6672726543,2,1181.69,553.173482552364,8298.81614761745
444,12278.8296160105,0,1190.28,546.457248216739,8198.05789416956
445,12278.8296160105,2,1206.26,549.510082005659,8243.85710028223
446,12507.1815834218,0,1210.24,549.510082005659,8243.85710028223
447,12507.1815834218,2,1234.13,559.889716887989,8399.57440106535
448,12386.2893653805,0,1229.77,558.668583372421,8381.25471862028
449,12386.2893653805,2,1218.98,553.173482552364,8298.81614761745
450,12453.4517087368,0,1210.88,549.510082005659,8243.85710028223
451,12453.4517087368,2,1217.65,552.56291579458,8289.65630639492
452,12386.2893653805,0,1230.71,552.56291579458,8289.65630639492
453,12386.2893653805,2,1244.84,549.510082005659,8243.85710028223
454,12614.6413327918,0,1256.53,558.058016614636,8372.09487739773
455,12614.6413327918,2,1256.4,568.437651496965,8527.81217818084
456,12547.4789894355,0,1258.81,569.04821825475,8536.97201940339
457,12547.4789894355,2,1255.07,565.99538446583,8491.17281329071
458,12587.7763954493,0,1257.68,561.110850403557,8417.89408351042
459,12587.7763954493,1,1280.05,562.942550676909,8445.37360717802
