,DeepRL Bot,action,Nepse Data,Stock price,Normal Investor,Date
448,23168.5174037091,1,1360.38,601.493965763195,15280.6850618471,2018-05-09
449,23168.5174037091,1,1366.15,601.493965763195,15280.6850618471,2018-05-10
450,23168.5174037091,1,1353.64,599.246790299572,15223.596574692,2018-05-14
451,23168.5174037091,1,1345.37,595.5014978602,15128.4490961002,2018-05-15
452,23168.5174037091,1,1361.02,602.24302425107,15299.7145575654,2018-05-16
453,23168.5174037091,1,1356.15,597.748673323823,15185.5375832553,2018-05-17
454,23168.5174037091,1,1348.45,597.748673323823,15185.5375832553,2018-05-20
455,23168.5174037091,1,1338.17,596.250556348074,15147.4785918185,2018-05-21
456,23168.5174037091,1,1333.85,596.999614835949,15166.5080875369,2018-05-22
457,23168.5174037091,1,1338.01,596.250556348074,15147.4785918185,2018-05-23
458,23168.5174037091,1,1339.65,596.999614835949,15166.5080875369,2018-05-24
459,23168.5174037091,1,1339.19,596.250556348074,15147.4785918185,2018-05-27
460,23168.5174037091,1,1337.13,595.5014978602,15128.4490961002,2018-05-28
461,23168.5174037091,1,1332.82,593.254322396576,15071.3606089451,2018-05-29
462,23168.5174037091,1,1328.27,588.010912981455,14938.1541389165,2018-05-30
463,23168.5174037091,1,1318.22,590.258088445079,14995.2426260716,2018-05-31
464,23168.5174037091,1,1300.41,589.509029957204,14976.2131303532,2018-06-03
465,23168.5174037091,2,1336.39,602.992082738944,15318.7440532838,2018-06-04
466,23196.9816262483,0,1327.21,595.5014978602,15128.4490961002,2018-06-06
467,23196.9816262483,2,1322.27,596.250556348074,15147.4785918185,2018-06-07
468,22741.5540656207,0,1307.66,596.250556348074,15147.4785918185,2018-06-10
469,22741.5540656207,2,1273.95,584.265620542083,14843.0066603247,2018-06-11
470,22997.7320684738,0,1268.84,583.516562054208,14823.9771646063,2018-06-12
471,22997.7320684737,2,1282.75,590.258088445079,14995.2426260716,2018-06-13
472,22559.5328530672,0,1257.07,581.269386590585,14766.8886774512,2018-06-14
473,22559.5328530672,2,1231.64,570.033509272468,14481.4462416758,2018-06-17
474,22559.5328530672,0,1241.19,569.284450784593,14462.4167459574,2018-06-18
475,22559.5328530671,2,1239.26,569.284450784593,14462.4167459574,2018-06-19
476,22617.9594151213,0,1242.07,569.284450784593,14462.4167459574,2018-06-20
477,22617.9594151213,2,1247.3,570.782567760342,14500.4757373941,2018-06-21
478,22617.9594151213,0,1233.23,561.793865905849,14272.1217887737,2018-06-24
479,22617.9594151214,2,1235.15,561.793865905849,14272.1217887737,2018-06-25
480,22587.9970756064,0,1226.18,561.044807417974,14253.0922930554,2018-06-26
481,22587.9970756064,2,1217.84,560.2957489301,14234.062797337,2018-06-27
482,22587.9970756064,0,1218.46,561.793865905849,14272.1217887737,2018-06-28
483,22587.9970756064,2,1219.81,561.793865905849,14272.1217887737,2018-07-01
484,22498.1100570615,0,1210.09,555.801398002853,14119.8858230268,2018-07-02
485,22498.1100570615,2,1194.8,553.55422253923,14062.7973358717,2018-07-03
486,22528.0723965765,0,1199.42,554.303281027104,14081.8268315901,2018-07-04
487,22528.0723965765,2,1198.54,555.052339514979,14100.8563273085,2018-07-05
488,22318.3360199716,0,1184.53,553.55422253923,14062.7973358717,2018-07-08
489,22318.3360199716,2,1179.71,548.310813124108,13929.5908658432,2018-07-09
490,22258.4113409417,0,1180.36,548.310813124108,13929.5908658432,2018-07-10
491,22258.4113409417,2,1188.4,546.81269614836,13891.5318744065,2018-07-11
492,22647.9217546364,0,1224.41,550.557988587732,13986.6793529983,2018-07-12
