,"Episode End Value","action","Nepse Data","Stock price","Date","Normal Investor"
247,16835.3724444445,2,1612.91,437.171703703704,"2017-08-28",16303.630363035
248,16633.600888889,2,1598.36,438.94162962963,"2017-08-30",16369.636963695
249,16499.0865185186,2,1580.03,433.631851851852,"2017-08-31",16171.6171617148
250,16599.9722962964,2,1554.56,430.092,"2017-09-04",16039.6039603947
251,16599.9722962964,2,1566.5,432.746888888889,"2017-09-06",16138.6138613848
252,16297.314962963,2,1554.55,432.746888888889,"2017-09-07",16138.6138613848
253,16297.314962963,2,1519.66,424.782222222222,"2017-09-10",15841.5841584145
254,16129.1720000001,2,1523.26,424.782222222222,"2017-09-11",15841.5841584145
255,16129.1720000001,2,1502.2,420.357407407407,"2017-09-12",15676.5676567644
256,16364.5721481482,2,1493.2,420.357407407407,"2017-09-13",15676.5676567644
257,16768.1152592594,2,1530.31,426.552148148148,"2017-09-14",15907.5907590746
258,16566.3437037038,2,1547.94,437.171703703704,"2017-09-17",16303.630363035
259,16734.4866666668,2,1543.7,431.861925925926,"2017-09-18",16105.6105610548
260,16566.3437037038,2,1539.81,436.286740740741,"2017-09-20",16270.6270627049
261,16499.0865185186,2,1536.92,431.861925925926,"2017-09-24",16105.6105610548
262,16633.600888889,2,1545.44,430.092,"2017-09-25",16039.6039603947
263,16633.600888889,2,1549.46,433.631851851852,"2017-09-26",16171.6171617148
264,16499.0865185186,2,1556.35,433.631851851852,"2017-10-03",16171.6171617148
265,16095.5434074075,2,1542.65,430.092,"2017-10-04",16039.6039603947
266,15961.0290370371,2,1510.01,419.472444444444,"2017-10-08",15643.5643564343
267,15860.1432592594,2,1501.89,415.932592592593,"2017-10-09",15511.5511551142
268,15860.1432592594,1,1502.63,413.277703703704,"2017-10-10",15412.5412541241
269,15994.6576296297,1,1505.99,413.277703703704,"2017-10-11",15412.5412541241
270,15961.0290370371,2,1510.02,416.817555555556,"2017-10-12",15544.5544554443
271,16869.0010370371,2,1518.28,415.932592592593,"2017-10-15",15511.5511551142
272,16633.600888889,2,1564.9,439.826592592593,"2017-10-16",16402.6402640251
273,16633.600888889,2,1559.18,433.631851851852,"2017-10-17",16171.6171617148
274,16532.7151111112,2,1568.35,433.631851851852,"2017-10-18",16171.6171617148
275,16566.3437037038,2,1571.92,430.976962962963,"2017-10-22",16072.6072607247
276,16566.3437037038,2,1568.3,431.861925925926,"2017-10-23",16105.6105610548
277,16465.457925926,2,1567.64,431.861925925926,"2017-10-24",16105.6105610548
278,16263.6863703704,2,1553.72,429.207037037037,"2017-10-25",16006.6006600647
279,16263.6863703704,2,1540.23,423.897259259259,"2017-10-29",15808.5808580845
280,16263.6863703704,2,1536.72,423.897259259259,"2017-10-30",15808.5808580845
281,16028.2862222223,2,1533.53,423.897259259259,"2017-10-31",15808.5808580845
282,16061.9148148149,2,1526.51,417.702518518519,"2017-11-01",15577.5577557743
283,16028.2862222223,2,1522.81,418.587481481482,"2017-11-02",15610.5610561043
284,16129.1720000001,2,1496.46,417.702518518519,"2017-11-05",15577.5577557743
285,16162.8005925927,2,1493.42,420.357407407407,"2017-11-06",15676.5676567644
286,15994.6576296297,2,1484.45,421.24237037037,"2017-11-07",15709.5709570944
287,16095.5434074075,2,1466.62,416.817555555556,"2017-11-08",15544.5544554443
288,16263.6863703704,2,1460.73,419.472444444444,"2017-11-09",15643.5643564343
289,16532.7151111112,2,1477.14,423.897259259259,"2017-11-12",15808.5808580845
290,16768.1152592594,2,1490.88,430.976962962963,"2017-11-13",16072.6072607247
291,16869.0010370371,2,1516.02,437.171703703704,"2017-11-14",16303.630363035
292,16667.2294814816,2,1504.79,439.826592592593,"2017-11-15",16402.6402640251
293,16633.600888889,2,1489.06,434.516814814815,"2017-11-16",16204.6204620449
294,16633.600888889,2,1475.72,433.631851851852,"2017-11-19",16171.6171617148
295,16566.3437037038,2,1469.16,433.631851851852,"2017-11-20",16171.6171617148
296,16566.3437037038,2,1472.24,431.861925925926,"2017-11-21",16105.6105610548
297,16734.4866666668,2,1480.26,431.861925925926,"2017-11-22",16105.6105610548
298,17003.5154074075,2,1493.29,436.286740740741,"2017-11-23",16270.6270627049
299,17070.7725925927,2,1514.34,443.366444444444,"2017-11-26",16534.6534653451
300,17037.1440000001,2,1513.74,445.13637037037,"2017-11-27",16600.6600660052
301,17238.9155555556,2,1523.86,444.251407407407,"2017-11-28",16567.6567656752
302,17407.0585185186,2,1536.12,449.561185185185,"2017-11-29",16765.6765676554
303,17238.9155555556,2,1537.67,453.986,"2017-11-30",16930.6930693055
304,17272.5441481482,2,1526.77,449.561185185185,"2017-12-04",16765.6765676554
305,17306.1727407408,2,1524.87,450.446148148148,"2017-12-05",16798.6798679854
306,17171.6583703704,2,1536.54,451.331111111111,"2017-12-06",16831.6831683154
307,17070.7725925927,2,1530.49,447.791259259259,"2017-12-10",16699.6699669953
308,16936.2582222223,2,1527.75,445.13637037037,"2017-12-11",16600.6600660052
309,17104.4011851853,0,1510.21,441.596518518519,"2017-12-12",16468.6468646851
310,17104.4011851853,2,1520.74,446.021333333333,"2017-12-13",16633.6633663352
311,16902.6296296297,2,1520.15,448.676222222222,"2017-12-14",16732.6732673253
312,16869.0010370371,2,1509.14,443.366444444444,"2017-12-17",16534.6534653451
313,16801.7438518519,2,1508.25,442.481481481481,"2017-12-18",16501.6501650151
314,16566.3437037038,2,1493.76,440.711555555556,"2017-12-19",16435.6435643551
315,16532.7151111112,2,1484.47,434.516814814815,"2017-12-20",16204.6204620449
316,16667.2294814816,2,1472.15,433.631851851852,"2017-12-21",16171.6171617148
317,16667.2294814816,2,1467.68,437.171703703704,"2017-12-24",16303.630363035
318,16532.7151111112,2,1447.04,437.171703703704,"2017-12-26",16303.630363035
319,16499.0865185186,2,1425.51,433.631851851852,"2017-12-27",16171.6171617148
320,16364.5721481482,2,1414.78,432.746888888889,"2017-12-28",16138.6138613848
321,16667.2294814816,2,1390.58,429.207037037037,"2017-12-31",16006.6006600647
322,16768.1152592594,2,1434.8,437.171703703704,"2018-01-01",16303.630363035
323,16700.8580740742,2,1437.24,439.826592592593,"2018-01-02",16402.6402640251
324,16768.1152592594,2,1416.61,438.056666666667,"2018-01-03",16336.633663365
